Gene Name,Combinations,Diseases,ICD-10 ID,Partner Genes
ANOS1,OLI1298,Kallmann syndrome,E23.0,ANOS1; SPRY4
SPRY4,OLI1298,Kallmann syndrome,E23.0,ANOS1; SPRY4
FEZF1,OLI1299,Kallmann syndrome,E23.0,FEZF1; WDR11
WDR11,OLI1299,Kallmann syndrome,E23.0,FEZF1; WDR11
NOD2,OLI130,Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome,K52.8,IL10RA; NOD2
IL10RA,OLI130,Immune dysregulation-inflammatory bowel disease-arthritis-recurrent infections syndrome,K52.8,IL10RA; NOD2
GNRHR,OLI1300,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FLRT3; GNRHR
FLRT3,OLI1300,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FLRT3; GNRHR
CHD7,OLI1301,Kallmann syndrome,E23.0,ANOS1; CHD7
ANOS1,OLI1301,Kallmann syndrome,E23.0,ANOS1; CHD7
FGFR1,OLI1302,Kallmann syndrome,E23.0,FGFR1; SEMA7A
SEMA7A,OLI1302,Kallmann syndrome,E23.0,FGFR1; SEMA7A
FGF8,OLI1303,Kallmann syndrome,E23.0,FGF8; PROKR2
PROKR2,OLI1303,Kallmann syndrome,E23.0,FGF8; PROKR2
CYP7A1,OLI1304,NON RARE IN EUROPE: Heterozygous familial hypercholesterolemia,N.A.,CYP7A1; LDLRAP1; LRP6
LDLRAP1,OLI1304,NON RARE IN EUROPE: Heterozygous familial hypercholesterolemia,N.A.,CYP7A1; LDLRAP1; LRP6
LRP6,OLI1304,NON RARE IN EUROPE: Heterozygous familial hypercholesterolemia,N.A.,CYP7A1; LDLRAP1; LRP6
LRP6,OLI1305,NON RARE IN EUROPE: Heterozygous familial hypercholesterolemia,N.A.,CYP7A1; LRP6
CYP7A1,OLI1305,NON RARE IN EUROPE: Heterozygous familial hypercholesterolemia,N.A.,CYP7A1; LRP6
DNAH10,OLI1306,Juvenile amyotrophic lateral sclerosis,G12.2,DNAH10; FUS; MROH2A; SCUBE2; TRIM42
FUS,OLI1306,Juvenile amyotrophic lateral sclerosis,G12.2,DNAH10; FUS; MROH2A; SCUBE2; TRIM42
SCUBE2,OLI1306,Juvenile amyotrophic lateral sclerosis,G12.2,DNAH10; FUS; MROH2A; SCUBE2; TRIM42
MROH2A,OLI1306,Juvenile amyotrophic lateral sclerosis,G12.2,DNAH10; FUS; MROH2A; SCUBE2; TRIM42
TRIM42,OLI1306,Juvenile amyotrophic lateral sclerosis,G12.2,DNAH10; FUS; MROH2A; SCUBE2; TRIM42
GPT2,OLI1307,Juvenile amyotrophic lateral sclerosis,G12.2,CARD11; FUS; GPT2
CARD11,OLI1307,Juvenile amyotrophic lateral sclerosis,G12.2,CARD11; FUS; GPT2
FUS,OLI1307,Juvenile amyotrophic lateral sclerosis,G12.2,CARD11; FUS; GPT2
RPL3L,OLI1308,Catecholaminergic polymorphic ventricular tachycardia,I47.2,AGRN; RPL3L
AGRN,OLI1308,Catecholaminergic polymorphic ventricular tachycardia,I47.2,AGRN; RPL3L
TARDBP,OLI1309,Amyotrophic lateral sclerosis,G12.2,GBA; TARDBP
GBA,OLI1309,Amyotrophic lateral sclerosis,G12.2,GBA; TARDBP
TWNK,OLI131,Progressive external ophthalmoplegia,H49.4,POLG; TWNK
POLG,OLI131,Progressive external ophthalmoplegia,H49.4,POLG; TWNK
PRKN,OLI1310,NON RARE IN EUROPE: Alzheimer disease,G30.8,GBA; PRKN; TARDBP
GBA,OLI1310,NON RARE IN EUROPE: Alzheimer disease,G30.8,GBA; PRKN; TARDBP
TARDBP,OLI1310,NON RARE IN EUROPE: Alzheimer disease,G30.8,GBA; PRKN; TARDBP
GBA,OLI1311,NON RARE IN EUROPE: Alzheimer disease,G30.8,GBA; PRKN
PRKN,OLI1311,NON RARE IN EUROPE: Alzheimer disease,G30.8,GBA; PRKN
LRRK2,OLI1312,Frontotemporal dementia,G31.0,LRRK2; PRKN; TARDBP
PRKN,OLI1312,Frontotemporal dementia,G31.0,LRRK2; PRKN; TARDBP
TARDBP,OLI1312,Frontotemporal dementia,G31.0,LRRK2; PRKN; TARDBP
SLC4A11,OLI1313,Rare genetic deafness,N.A.,GJB2; SLC4A11
GJB2,OLI1313,Rare genetic deafness,N.A.,GJB2; SLC4A11
GJB2,OLI1314,Rare genetic deafness,N.A.,EYA1; GJB2
EYA1,OLI1314,Rare genetic deafness,N.A.,EYA1; GJB2
GJB2,OLI1315,Rare genetic deafness,N.A.,GJB2; OTOA
OTOA,OLI1315,Rare genetic deafness,N.A.,GJB2; OTOA
GJB2,OLI1316,Rare genetic deafness,N.A.,GJB2; OTOA
OTOA,OLI1316,Rare genetic deafness,N.A.,GJB2; OTOA
GSDME,OLI1317,Rare genetic deafness,N.A.,GJB2; GSDME
GJB2,OLI1317,Rare genetic deafness,N.A.,GJB2; GSDME
GJB2,OLI1318,Rare genetic deafness,N.A.,GJB2; OTOA; OTOF; PJVK
PJVK,OLI1318,Rare genetic deafness,N.A.,GJB2; OTOA; OTOF; PJVK
OTOF,OLI1318,Rare genetic deafness,N.A.,GJB2; OTOA; OTOF; PJVK
OTOA,OLI1318,Rare genetic deafness,N.A.,GJB2; OTOA; OTOF; PJVK
USH2A,OLI1319,Rare genetic deafness,N.A.,ADGRV1; USH2A
ADGRV1,OLI1319,Rare genetic deafness,N.A.,ADGRV1; USH2A
CHD7,OLI132,Normosmic congenital hypogonadotropic hypogonadism,E23.0,CHD7; PAX4; PCSK1
CHD7,OLI132,MODY,E13,CHD7; PAX4; PCSK1
PCSK1,OLI132,Normosmic congenital hypogonadotropic hypogonadism,E23.0,CHD7; PAX4; PCSK1
PCSK1,OLI132,MODY,E13,CHD7; PAX4; PCSK1
PAX4,OLI132,Normosmic congenital hypogonadotropic hypogonadism,E23.0,CHD7; PAX4; PCSK1
PAX4,OLI132,MODY,E13,CHD7; PAX4; PCSK1
ANOS1,OLI1320,Kallmann syndrome,E23.0,ANOS1; PROKR2
PROKR2,OLI1320,Kallmann syndrome,E23.0,ANOS1; PROKR2
GLI3,OLI1321,Kallmann syndrome,E23.0,GLI3; NRP2
NRP2,OLI1321,Kallmann syndrome,E23.0,GLI3; NRP2
FGFR1,OLI1322,Kallmann syndrome,E23.0,CHD7; FGFR1
CHD7,OLI1322,Kallmann syndrome,E23.0,CHD7; FGFR1
PNPLA6,OLI1323,Kallmann syndrome,E23.0,PNPLA6; SOX10
SOX10,OLI1323,Kallmann syndrome,E23.0,PNPLA6; SOX10
SRA1,OLI1324,Non-acquired combined pituitary hormone deficiency,E23.0,BMP4; GNRH1; SRA1
BMP4,OLI1324,Non-acquired combined pituitary hormone deficiency,E23.0,BMP4; GNRH1; SRA1
GNRH1,OLI1324,Non-acquired combined pituitary hormone deficiency,E23.0,BMP4; GNRH1; SRA1
SOX9,OLI1325,Non-acquired combined pituitary hormone deficiency,E23.0,HS6ST1; IL17RD; SOX9
HS6ST1,OLI1325,Non-acquired combined pituitary hormone deficiency,E23.0,HS6ST1; IL17RD; SOX9
IL17RD,OLI1325,Non-acquired combined pituitary hormone deficiency,E23.0,HS6ST1; IL17RD; SOX9
POLR3A,OLI1326,Dilated cardiomyopathy,I42.0,POLR3A; TTN
TTN,OLI1326,Dilated cardiomyopathy,I42.0,POLR3A; TTN
LZTR1,OLI1327,NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy,I42.1,COL6A1; LZTR1; TTN
TTN,OLI1327,NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy,I42.1,COL6A1; LZTR1; TTN
COL6A1,OLI1327,NON RARE IN EUROPE: Familial isolated hypertrophic cardiomyopathy,I42.1,COL6A1; LZTR1; TTN
KDM6A,OLI1328,Primary immunodeficiency,N.A.,H2BW2; KDM6A; LRP1B
LRP1B,OLI1328,Primary immunodeficiency,N.A.,H2BW2; KDM6A; LRP1B
H2BW2,OLI1328,Primary immunodeficiency,N.A.,H2BW2; KDM6A; LRP1B
ZNFX1,OLI1329,Primary immunodeficiency,N.A.,GBP2; RNF123; TYK2; ZNFX1
GBP2,OLI1329,Primary immunodeficiency,N.A.,GBP2; RNF123; TYK2; ZNFX1
TYK2,OLI1329,Primary immunodeficiency,N.A.,GBP2; RNF123; TYK2; ZNFX1
RNF123,OLI1329,Primary immunodeficiency,N.A.,GBP2; RNF123; TYK2; ZNFX1
COL4A5,OLI133,Alport syndrome,Q87.8,COL4A3; COL4A5
COL4A5,OLI133,Benign familial hematuria,Q87.8,COL4A3; COL4A5
COL4A3,OLI133,Alport syndrome,Q87.8,COL4A3; COL4A5
COL4A3,OLI133,Benign familial hematuria,Q87.8,COL4A3; COL4A5
JAK1,OLI1330,Primary immunodeficiency,N.A.,IFNGR1; IL23R; JAK1; PPP1R9B
PPP1R9B,OLI1330,Primary immunodeficiency,N.A.,IFNGR1; IL23R; JAK1; PPP1R9B
IL23R,OLI1330,Primary immunodeficiency,N.A.,IFNGR1; IL23R; JAK1; PPP1R9B
IFNGR1,OLI1330,Primary immunodeficiency,N.A.,IFNGR1; IL23R; JAK1; PPP1R9B
RBMXL3,OLI1331,Primary immunodeficiency,N.A.,RBMXL3; SRPX2; ZCWPW1
ZCWPW1,OLI1331,Primary immunodeficiency,N.A.,RBMXL3; SRPX2; ZCWPW1
SRPX2,OLI1331,Primary immunodeficiency,N.A.,RBMXL3; SRPX2; ZCWPW1
TYK2,OLI1332,Primary immunodeficiency,N.A.,HEATR3; IFNW1; IL12B; TYK2
IFNW1,OLI1332,Primary immunodeficiency,N.A.,HEATR3; IFNW1; IL12B; TYK2
HEATR3,OLI1332,Primary immunodeficiency,N.A.,HEATR3; IFNW1; IL12B; TYK2
IL12B,OLI1332,Primary immunodeficiency,N.A.,HEATR3; IFNW1; IL12B; TYK2
TTN,OLI1333,Primary immunodeficiency,N.A.,GAL3ST2; HMCN1; SIGLEC6; STAT1; TTN
STAT1,OLI1333,Primary immunodeficiency,N.A.,GAL3ST2; HMCN1; SIGLEC6; STAT1; TTN
SIGLEC6,OLI1333,Primary immunodeficiency,N.A.,GAL3ST2; HMCN1; SIGLEC6; STAT1; TTN
HMCN1,OLI1333,Primary immunodeficiency,N.A.,GAL3ST2; HMCN1; SIGLEC6; STAT1; TTN
GAL3ST2,OLI1333,Primary immunodeficiency,N.A.,GAL3ST2; HMCN1; SIGLEC6; STAT1; TTN
STAT1,OLI1334,Primary immunodeficiency,N.A.,IL12RB1; STAT1
IL12RB1,OLI1334,Primary immunodeficiency,N.A.,IL12RB1; STAT1
NSMF,OLI1335,Kallmann syndrome,E23.0,CHD7; NSMF; SEMA3E
CHD7,OLI1335,Kallmann syndrome,E23.0,CHD7; NSMF; SEMA3E
SEMA3E,OLI1335,Kallmann syndrome,E23.0,CHD7; NSMF; SEMA3E
FEZF1,OLI1336,Kallmann syndrome,E23.0,FEZF1; FGFR1
FGFR1,OLI1336,Kallmann syndrome,E23.0,FEZF1; FGFR1
CHD7,OLI1337,Normosmic congenital hypogonadotropic hypogonadism,E23.0,CHD7; FGF8; PROKR2
FGF8,OLI1337,Normosmic congenital hypogonadotropic hypogonadism,E23.0,CHD7; FGF8; PROKR2
PROKR2,OLI1337,Normosmic congenital hypogonadotropic hypogonadism,E23.0,CHD7; FGF8; PROKR2
FGFR1,OLI1338,Kallmann syndrome,E23.0,FGFR1; PROKR2
PROKR2,OLI1338,Kallmann syndrome,E23.0,FGFR1; PROKR2
ANOS1,OLI1339,Kallmann syndrome,E23.0,ANOS1; FGFR1
FGFR1,OLI1339,Kallmann syndrome,E23.0,ANOS1; FGFR1
COL6A1,OLI134,Bethlem myopathy,G71.0,COL6A1; COL6A3
COL6A3,OLI134,Bethlem myopathy,G71.0,COL6A1; COL6A3
CHD7,OLI1340,Kallmann syndrome,E23.0,CHD7; FGFR1
FGFR1,OLI1340,Kallmann syndrome,E23.0,CHD7; FGFR1
PROKR2,OLI1341,Kallmann syndrome,E23.0,IL17RD; PROKR2
IL17RD,OLI1341,Kallmann syndrome,E23.0,IL17RD; PROKR2
SEMA3A,OLI1342,Kallmann syndrome,E23.0,PROKR2; SEMA3A
PROKR2,OLI1342,Kallmann syndrome,E23.0,PROKR2; SEMA3A
IL17RD,OLI1343,Kallmann syndrome,E23.0,GLI3; IL17RD
GLI3,OLI1343,Kallmann syndrome,E23.0,GLI3; IL17RD
ANOS1,OLI1344,Kallmann syndrome,E23.0,ANOS1; IL17RD
IL17RD,OLI1344,Kallmann syndrome,E23.0,ANOS1; IL17RD
CCKBR,OLI1345,Kallmann syndrome,E23.0,CCKBR; KISS1R
KISS1R,OLI1345,Kallmann syndrome,E23.0,CCKBR; KISS1R
HS6ST1,OLI1346,Kallmann syndrome,E23.0,CHD7; HS6ST1
CHD7,OLI1346,Kallmann syndrome,E23.0,CHD7; HS6ST1
FGF17,OLI1347,Kallmann syndrome,E23.0,CHD7; FGF17
CHD7,OLI1347,Kallmann syndrome,E23.0,CHD7; FGF17
SEMA3A,OLI1348,Kallmann syndrome,E23.0,FGFR1; SEMA3A
FGFR1,OLI1348,Kallmann syndrome,E23.0,FGFR1; SEMA3A
FGFR1,OLI1349,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; SOX2
SOX2,OLI1349,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; SOX2
GJB2,OLI135,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GJB3,OLI135,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GLI3,OLI1350,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GLI3
FGFR1,OLI1350,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; GLI3
PROKR2,OLI1351,Normosmic congenital hypogonadotropic hypogonadism,E23.0,PROKR2; SEMA3E
SEMA3E,OLI1351,Normosmic congenital hypogonadotropic hypogonadism,E23.0,PROKR2; SEMA3E
SOX2,OLI1352,Normosmic congenital hypogonadotropic hypogonadism,E23.0,SEMA3A; SOX2
SEMA3A,OLI1352,Normosmic congenital hypogonadotropic hypogonadism,E23.0,SEMA3A; SOX2
SOX2,OLI1353,Normosmic congenital hypogonadotropic hypogonadism,E23.0,CHD7; SOX2
CHD7,OLI1353,Normosmic congenital hypogonadotropic hypogonadism,E23.0,CHD7; SOX2
TAC3,OLI1354,Normosmic congenital hypogonadotropic hypogonadism,E23.0,HS6ST1; TAC3
HS6ST1,OLI1354,Normosmic congenital hypogonadotropic hypogonadism,E23.0,HS6ST1; TAC3
KISS1R,OLI1355,Normosmic congenital hypogonadotropic hypogonadism,E23.0,KISS1R; NR0B1
NR0B1,OLI1355,Normosmic congenital hypogonadotropic hypogonadism,E23.0,KISS1R; NR0B1
FGFR1,OLI1356,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; PROKR2
PROKR2,OLI1356,Normosmic congenital hypogonadotropic hypogonadism,E23.0,FGFR1; PROKR2
SEMA3A,OLI1357,Normosmic congenital hypogonadotropic hypogonadism,E23.0,SEMA3A; WDR11
WDR11,OLI1357,Normosmic congenital hypogonadotropic hypogonadism,E23.0,SEMA3A; WDR11
SMAD6,OLI1358,Non-syndromic metopic and sagittal craniosynostosis,N.A.,BMP2; SMAD6
BMP2,OLI1358,Non-syndromic metopic and sagittal craniosynostosis,N.A.,BMP2; SMAD6
SMAD6,OLI1359,Non-syndromic metopic and sagittal craniosynostosis,N.A.,BMP2; SMAD6
BMP2,OLI1359,Non-syndromic metopic and sagittal craniosynostosis,N.A.,BMP2; SMAD6
GJB2,OLI136,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
GJB3,OLI136,Non-syndromic genetic deafness,H90.5,GJB2; GJB3
BMP2,OLI1360,Non-syndromic sagittal craniosynostosis,Q75.0,BMP2; SMAD6
SMAD6,OLI1360,Non-syndromic sagittal craniosynostosis,Q75.0,BMP2; SMAD6
SMAD6,OLI1361,Non-syndromic sagittal craniosynostosis,Q75.0,BMP2; SMAD6
BMP2,OLI1361,Non-syndromic sagittal craniosynostosis,Q75.0,BMP2; SMAD6
SMAD6,OLI1362,Non-syndromic sagittal craniosynostosis,Q75.0,BMP2; SMAD6
BMP2,OLI1362,Non-syndromic sagittal craniosynostosis,Q75.0,BMP2; SMAD6
BMP2,OLI1363,Non-syndromic sagittal craniosynostosis,Q75.0,BMP2; SMAD6
SMAD6,OLI1363,Non-syndromic sagittal craniosynostosis,Q75.0,BMP2; SMAD6
SMAD6,OLI1364,Non-syndromic metopic craniosynostosis,Q75.0,BMP2; SMAD6
BMP2,OLI1364,Non-syndromic metopic craniosynostosis,Q75.0,BMP2; SMAD6
SMAD6,OLI1365,Non-syndromic metopic craniosynostosis,Q75.0,BMP2; SMAD6
BMP2,OLI1365,Non-syndromic metopic craniosynostosis,Q75.0,BMP2; SMAD6
SMAD6,OLI1366,Non-syndromic metopic craniosynostosis,Q75.0,BMP2; SMAD6
BMP2,OLI1366,Non-syndromic metopic craniosynostosis,Q75.0,BMP2; SMAD6
SMAD6,OLI1367,Non-syndromic metopic craniosynostosis,Q75.0,BMP2; SMAD6
BMP2,OLI1367,Non-syndromic metopic craniosynostosis,Q75.0,BMP2; SMAD6
SMAD6,OLI1368,Non-syndromic metopic and sagittal craniosynostosis,N.A.,BMP2; SMAD6
BMP2,OLI1368,Non-syndromic metopic and sagittal craniosynostosis,N.A.,BMP2; SMAD6
TBP,OLI1369,Spinocerebellar ataxia type 17,G11.8,STUB1; TBP
STUB1,OLI1369,Spinocerebellar ataxia type 17,G11.8,STUB1; TBP
PAX3,OLI137,Waardenburg syndrome,E70.3,GJB2; PAX3
GJB2,OLI137,Waardenburg syndrome,E70.3,GJB2; PAX3
CDH23,OLI1370,Usher syndrome,H35.5,CDH23; PCDH15
PCDH15,OLI1370,Usher syndrome,H35.5,CDH23; PCDH15
TMEM67,OLI1371,Meckel syndrome,Q61.9,KIF14; TMEM67
KIF14,OLI1371,Meckel syndrome,Q61.9,KIF14; TMEM67
CYP11A1,OLI1372,Primary adrenal insufficiency,N.A.,CYP11A1; STAR
STAR,OLI1372,Primary adrenal insufficiency,N.A.,CYP11A1; STAR
COL4A5,OLI1373,Alport syndrome,Q87.8,COL4A4; COL4A5
COL4A4,OLI1373,Alport syndrome,Q87.8,COL4A4; COL4A5
COL4A5,OLI1374,Alport syndrome,Q87.8,COL4A4; COL4A5
COL4A4,OLI1374,Alport syndrome,Q87.8,COL4A4; COL4A5
COL4A4,OLI1375,Alport syndrome,Q87.8,COL4A3; COL4A4
COL4A3,OLI1375,Alport syndrome,Q87.8,COL4A3; COL4A4
FGFR1,OLI1376,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,DCC; FGFR1
DCC,OLI1376,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,DCC; FGFR1
GNRHR,OLI1377,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,DMXL2; GNRHR; LEPR
DMXL2,OLI1377,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,DMXL2; GNRHR; LEPR
LEPR,OLI1377,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,DMXL2; GNRHR; LEPR
POLR3A,OLI1378,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,CHD7; POLR3A
CHD7,OLI1378,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,CHD7; POLR3A
GNRHR,OLI1379,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,CCDC141; GLI3; GNRHR
GLI3,OLI1379,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,CCDC141; GLI3; GNRHR
CCDC141,OLI1379,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,CCDC141; GLI3; GNRHR
CARD9,OLI138,Primary immunodeficiency,N.A.,CARD9; MYD88
MYD88,OLI138,Primary immunodeficiency,N.A.,CARD9; MYD88
CCDC141,OLI1380,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,CCDC141; FGFR1
FGFR1,OLI1380,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,CCDC141; FGFR1
RAB3GAP2,OLI1381,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,FGFR1; RAB3GAP2
FGFR1,OLI1381,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,FGFR1; RAB3GAP2
LEPR,OLI1382,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,FGFR1; LEPR
FGFR1,OLI1382,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,FGFR1; LEPR
TBC1D20,OLI1383,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,KL; POLR3B; TBC1D20
POLR3B,OLI1383,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,KL; POLR3B; TBC1D20
KL,OLI1383,Hypogonadotropic hypogonadism with Fertile Eunuch phenotype,E23.0,KL; POLR3B; TBC1D20
ARHGAP35,OLI1384,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,ARHGAP35; IL17RD; SMCHD1; TCF12
IL17RD,OLI1384,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,ARHGAP35; IL17RD; SMCHD1; TCF12
SMCHD1,OLI1384,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,ARHGAP35; IL17RD; SMCHD1; TCF12
TCF12,OLI1384,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,ARHGAP35; IL17RD; SMCHD1; TCF12
GNRHR,OLI1385,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,GNRHR; PROP1
PROP1,OLI1385,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,GNRHR; PROP1
PROP1,OLI1386,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,KLB; PROP1
KLB,OLI1386,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,KLB; PROP1
SOX10,OLI1387,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,GNRHR; IGSF10; NDNF; SOX10
IGSF10,OLI1387,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,GNRHR; IGSF10; NDNF; SOX10
GNRHR,OLI1387,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,GNRHR; IGSF10; NDNF; SOX10
NDNF,OLI1387,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,GNRHR; IGSF10; NDNF; SOX10
SOX10,OLI1388,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,KLB; SOX10
KLB,OLI1388,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,KLB; SOX10
CCDC141,OLI1389,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,CCDC141; TCF12
TCF12,OLI1389,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,CCDC141; TCF12
BBS2,OLI139,Bardet-Biedl syndrome,Q87.8,BBS1; BBS2
BBS1,OLI139,Bardet-Biedl syndrome,Q87.8,BBS1; BBS2
ANOS1,OLI1390,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,AMH; ANOS1; CUL4A; PNPLA6
PNPLA6,OLI1390,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,AMH; ANOS1; CUL4A; PNPLA6
AMH,OLI1390,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,AMH; ANOS1; CUL4A; PNPLA6
CUL4A,OLI1390,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,AMH; ANOS1; CUL4A; PNPLA6
TCF12,OLI1391,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,ANOS1; TCF12
ANOS1,OLI1391,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,ANOS1; TCF12
FGFR1,OLI1392,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,CCDC141; DMXL2; FGFR1; NDNF
DMXL2,OLI1392,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,CCDC141; DMXL2; FGFR1; NDNF
NDNF,OLI1392,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,CCDC141; DMXL2; FGFR1; NDNF
CCDC141,OLI1392,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,CCDC141; DMXL2; FGFR1; NDNF
PROKR2,OLI1393,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,FGFR1; OTUD4; PROKR2
FGFR1,OLI1393,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,FGFR1; OTUD4; PROKR2
OTUD4,OLI1393,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,FGFR1; OTUD4; PROKR2
POLR3B,OLI1394,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,FGFR1; POLR3B; SMCHD1; SQSTM1
FGFR1,OLI1394,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,FGFR1; POLR3B; SMCHD1; SQSTM1
SMCHD1,OLI1394,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,FGFR1; POLR3B; SMCHD1; SQSTM1
SQSTM1,OLI1394,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,FGFR1; POLR3B; SMCHD1; SQSTM1
TACR3,OLI1395,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,IGSF10; TACR3
IGSF10,OLI1395,Hypogonadotropic hypogonadism with partial puberty phenotype,E23.0,IGSF10; TACR3
FGFR1,OLI1396,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,FGFR1; POLR3A
POLR3A,OLI1396,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,FGFR1; POLR3A
RNF216,OLI1397,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,CHD7; RNF216
CHD7,OLI1397,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,CHD7; RNF216
ANOS1,OLI1398,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,ANOS1; RAB3GAP1
RAB3GAP1,OLI1398,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,ANOS1; RAB3GAP1
FGFR1,OLI1399,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,FGFR1; WDR11
WDR11,OLI1399,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,FGFR1; WDR11
TTC8,OLI140,Bardet-Biedl syndrome,Q87.8,BBS1; TTC8
BBS1,OLI140,Bardet-Biedl syndrome,Q87.8,BBS1; TTC8
SQSTM1,OLI1400,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,KISS1R; PNPLA6; SQSTM1
PNPLA6,OLI1400,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,KISS1R; PNPLA6; SQSTM1
KISS1R,OLI1400,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,KISS1R; PNPLA6; SQSTM1
CHD7,OLI1401,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,AMH; CHD7; DMXL2
AMH,OLI1401,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,AMH; CHD7; DMXL2
DMXL2,OLI1401,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,AMH; CHD7; DMXL2
KL,OLI1402,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,FGFR1; KL
FGFR1,OLI1402,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,FGFR1; KL
FGFR1,OLI1403,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,CHD7; FGFR1; GNRHR
CHD7,OLI1403,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,CHD7; FGFR1; GNRHR
GNRHR,OLI1403,Hypogonadotropic hypogonadism with absent puberty phenotype,E23.0,CHD7; FGFR1; GNRHR
